number	name	type	city	region	country
	Публичная школа № 4	Средняя общеобразовательная школа	Поти	Самегрело-Земосванети	Грузия
	Алматинский индустриальный колледж	Колледж	Астана	Акмолинская область	КАЗАХСТАН
	АО Финансовая академия	Колледж	Астана	Акмолинская область	КАЗАХСТАН
	ГУ Гимназия №5	Гимназия	Астана	Акмолинская область	КАЗАХСТАН
	Евразийский национальный университет им. Л.Н. Гумилева	Университет	Астана	Акмолинская область	КАЗАХСТАН
	Казахская инженерно-техническая академия	Академия	Астана	Акмолинская область	КАЗАХСТАН
	Колледж АО КАТУ им С. Сейфуллина	Колледж	Астана	Акмолинская область	КАЗАХСТАН
	колледж АО Финансовая Академия	Колледж	Астана	Акмолинская область	КАЗАХСТАН
	Колледж Транспорта и Коммуникаций	Колледж	Астана	Акмолинская область	КАЗАХСТАН
	Политехнический колледж	Колледж	Астана	Акмолинская область	КАЗАХСТАН
	Школа гимназия №63	Гимназия	Астана	Акмолинская область	КАЗАХСТАН
	школа лицей №62	Лицей	Астана	Акмолинская область	КАЗАХСТАН
	Школа-гимназия № 30	Средняя общеобразовательная школа	Астана	Акмолинская область	КАЗАХСТАН
	Экономический лицей	Лицей	Астана	Акмолинская область	КАЗАХСТАН
1	школа-лицей	Лицей	Астана	Акмолинская область	КАЗАХСТАН
16	Средняя школа №16 имени Толегена Айбергенова	Средняя общеобразовательная школа	Астана	Акмолинская область	КАЗАХСТАН
2	школа-гимназия	Гимназия	Астана	Акмолинская область	КАЗАХСТАН
27	№27	Лицей	Астана	Акмолинская область	КАЗАХСТАН
32	Школа-Гимназия 32	Гимназия	Астана	Акмолинская область	КАЗАХСТАН
4	Колледж менеджмента и бизнеса	Колледж	Астана	Акмолинская область	КАЗАХСТАН
46	ГУ Комплекс Десткий-сад-школа гимназия 46	Гимназия	Астана	Акмолинская область	КАЗАХСТАН
5	Гимназия	Гимназия	Астана	Акмолинская область	КАЗАХСТАН
6	№6	Гимназия	Астана	Акмолинская область	КАЗАХСТАН
62	Школа-лицей №62	Лицей	Астана	Акмолинская область	КАЗАХСТАН
75	№75	Гимназия	Астана	Акмолинская область	КАЗАХСТАН
	Н.Крупской	Средняя общеобразовательная школа	Державинск	Акмолинская область	КАЗАХСТАН
	Средняя школа-сад им.Горького	Средняя общеобразовательная школа	Домбыралы	Акмолинская область	КАЗАХСТАН
5	ГУ Средняя школа-сад им.Горького	Средняя общеобразовательная школа	Домбыралы	Акмолинская область	КАЗАХСТАН
	Есильская средняя школа имени Сайлау Серикова	Средняя общеобразовательная школа	Есиль	Акмолинская область	КАЗАХСТАН
	Есильская СШ им. С.Серикова Акмолинской области	Средняя общеобразовательная школа	Есиль	Акмолинская область	КАЗАХСТАН
	Сайлау Серикова	Средняя общеобразовательная школа	Есиль	Акмолинская область	КАЗАХСТАН
	СШ им. С.Серикова	Средняя общеобразовательная школа	Есиль	Акмолинская область	КАЗАХСТАН
	жаксынска школа гимназия	Гимназия	Жаксынский жаксы	Акмолинская область	КАЗАХСТАН
1	ЗСШ №1	Средняя общеобразовательная школа	Зеренда	Акмолинская область	КАЗАХСТАН
	Высший Колледж г.Кокшетау	Колледж	Кокшетау	Акмолинская область	КАЗАХСТАН
	Высший колледж, город Кокшетау	Колледж	Кокшетау	Акмолинская область	КАЗАХСТАН
	Гуманитарно-технический лицей - школа-	Лицей	Кокшетау	Акмолинская область	КАЗАХСТАН
	Гуманитарно-технический лицей-школа	Лицей	Кокшетау	Акмолинская область	КАЗАХСТАН
	Кокшетауский государтсвенный университет им. ш. Уалиханова	Университет	Кокшетау	Акмолинская область	КАЗАХСТАН
	Кокшетауский гуманитарно-технический колледж	Колледж	Кокшетау	Акмолинская область	КАЗАХСТАН
	Кокшетауский гуманитарно-технический лицей-школа	Лицей	Кокшетау	Акмолинская область	КАЗАХСТАН
	Кокшетауский гуманитарно-технический лицей-школа	Средняя общеобразовательная школа	Кокшетау	Акмолинская область	КАЗАХСТАН
	Многопрофильный колледж при КГУ им. Ш. Уалиханова	Колледж	Кокшетау	Акмолинская область	КАЗАХСТАН
	Многпрофильная гимназия № 5 Тандау	Средняя общеобразовательная школа	Кокшетау	Акмолинская область	КАЗАХСТАН
	Средняя школа №16	Средняя общеобразовательная школа	Кокшетау	Акмолинская область	КАЗАХСТАН
	средняя школа №19	Средняя общеобразовательная школа	Кокшетау	Акмолинская область	КАЗАХСТАН
	Средняя школа-гимназия №1	Средняя общеобразовательная школа	Кокшетау	Акмолинская область	КАЗАХСТАН
	Средняя школа-лицей №6	Средняя общеобразовательная школа	Кокшетау	Акмолинская область	КАЗАХСТАН
1	1	Средняя общеобразовательная школа	Кокшетау	Акмолинская область	КАЗАХСТАН
1	№1	Гимназия	Кокшетау	Акмолинская область	КАЗАХСТАН
5	Тандау	Гимназия	Кокшетау	Акмолинская область	КАЗАХСТАН
6	Средняя школа-лицей 6	Средняя общеобразовательная школа	Кокшетау	Акмолинская область	КАЗАХСТАН
	Красноярская средняя школа №1	Средняя общеобразовательная школа	Красный Яр	Акмолинская область	КАЗАХСТАН
	КСШ №2	Средняя общеобразовательная школа	Красный Яр	Акмолинская область	КАЗАХСТАН
	Средняя школа №3	Средняя общеобразовательная школа	Макинск	Акмолинская область	КАЗАХСТАН
	средняя школа №9	Средняя общеобразовательная школа	Максимовка	Акмолинская область	КАЗАХСТАН
	Средняя школа №9 Целиноградского района Акмолинской области	Средняя общеобразовательная школа	Максимовка	Акмолинская область	КАЗАХСТАН
	КГУОСШИОД №4 Болашак	Гимназия	Степногорск	Акмолинская область	КАЗАХСТАН
	Областная специализированная школа-интернат №4 для одарённых детей Болашак	Лицей	Степногорск	Акмолинская область	КАЗАХСТАН
	Профессиональный лицей №13	Профессиональный лицей	Степногорск	Акмолинская область	КАЗАХСТАН
	Школа №7 имени Ю. А. Гагарина	Средняя общеобразовательная школа	Степногорск	Акмолинская область	КАЗАХСТАН
	школа гимназия № 6 имени Абая Кунанбаева	Средняя общеобразовательная школа	Степногорск	Акмолинская область	КАЗАХСТАН
1	им. Н.Островского	Средняя общеобразовательная школа	Степногорск	Акмолинская область	КАЗАХСТАН
2	Технический лицей	Профессиональный лицей	Степногорск	Акмолинская область	КАЗАХСТАН
6	Школа гимназия №6 имени Абая Кунанбаева	Средняя общеобразовательная школа	Степногорск	Акмолинская область	КАЗАХСТАН
6	Школа-гимназия имени Абая Кунанбаева	Гимназия	Степногорск	Акмолинская область	КАЗАХСТАН
7	средняя школа имени Ю.А. Гагарина	Средняя общеобразовательная школа	Степногорск	Акмолинская область	КАЗАХСТАН
8	Средняя школа №8	Средняя общеобразовательная школа	Степногорск	Акмолинская область	КАЗАХСТАН
	Высший Колледж	Колледж	Щучинск	Акмолинская область	КАЗАХСТАН
	Средняя школа № 2	Средняя общеобразовательная школа	Щучинск	Акмолинская область	КАЗАХСТАН
	Средняя школа №3 им. П.И. Морозова	Средняя общеобразовательная школа	Щучинск	Акмолинская область	КАЗАХСТАН
	Школа-гимназия №1	Гимназия	Щучинск	Акмолинская область	КАЗАХСТАН
	школа-гимназия №1	Средняя общеобразовательная школа	Щучинск	Акмолинская область	КАЗАХСТАН
1	школа-гимназия№1	Гимназия	Щучинск	Акмолинская область	КАЗАХСТАН
194	№194	Колледж	Щучинск	Акмолинская область	КАЗАХСТАН
2	№2	Средняя общеобразовательная школа	Щучинск	Акмолинская область	КАЗАХСТАН
	Средняя школа - лицей №27	Средняя общеобразовательная школа	Актобе	Актюбинская область	КАЗАХСТАН
9	Средняя школа-гимназия №9	Гимназия	Актобе	Актюбинская область	КАЗАХСТАН
	Академия экономики и управления- Евразийский институт рынка	Академия	Алма-Ата	Алматинская область	КАЗАХСТАН
	Казахский национальный педагогический университет им. Абая	Академия	Алма-Ата	Алматинская область	КАЗАХСТАН
	Казахский национальный педагогический университет им. Абая	Университет	Алма-Ата	Алматинская область	КАЗАХСТАН
	Международная Школа Алматы	Средняя общеобразовательная школа	Алма-Ата	Алматинская область	КАЗАХСТАН
	школа-лицей №28 имени Маншук Маметовой города Алматы	Лицей	Алма-Ата	Алматинская область	КАЗАХСТАН
	школы-лицея №28 имени Маншук Маметовой города Алматы	Лицей	Алма-Ата	Алматинская область	КАЗАХСТАН
103	школа гимназия	Гимназия	Алма-Ата	Алматинская область	КАЗАХСТАН
9	№9	Средняя общеобразовательная школа	Алма-Ата	Алматинская область	КАЗАХСТАН
	Казахский Национальный университет им. аль- Фараби	Университет	Алматы	Алматинская область	КАЗАХСТАН
	Казахский Национальный университет имени Аль-Фараби	Университет	Алматы	Алматинская область	КАЗАХСТАН
	Кустанайский кооперативный техникум	Колледж	Алматы	Алматинская область	КАЗАХСТАН
	Школа-лицей города Зыряновска	Лицей	Зыряновск	Восточно-Казахстанская	КАЗАХСТАН
	Восточно-Казахстанский Государственный Технический Университет	Университет	Усть-Каменогорск	Восточно-Казахстанская область	КАЗАХСТАН
	Восточно-Казахстанский государственный технический университет им. Д. Серикбаева	Университет	Усть-Каменогорск	Восточно-Казахстанская область	КАЗАХСТАН
	Восточно-Казахстанский государственный университет им. Д.Серикбаева	Университет	Усть-Каменогорск	Восточно-Казахстанская область	КАЗАХСТАН
	Казахстанско-Американский свободный университет	Университет	Усть-Каменогорск	Восточно-Казахстанская область	КАЗАХСТАН
	КГУ НИСЦ школа-комплекс РО Восток для одаренных детей	Средняя общеобразовательная школа	Усть-Каменогорск	Восточно-Казахстанская область	КАЗАХСТАН
	ШГ-гимназия №1 им.Г.Орджоникидзе	Гимназия	Бауыржан-Момышулы	Жамбылская область	КАЗАХСТАН
	Средняя общеобразовательная комплекс школа-детсад	Основная общеобразовательная школа	Кушум	Западно-Казахстанская область	КАЗАХСТАН
	Дарын	Средняя общеобразовательная школа	Караганда	Карагандинская область	КАЗАХСТАН
	Карагандинский государственный технический университет	Университет	Караганда	Карагандинская область	КАЗАХСТАН
	Карагандинский государственный университет имени академика Е.А.Букетова	Университет	Караганда	Карагандинская область	КАЗАХСТАН
	Карагандинский металлургический институт	Институт	Караганда	Карагандинская область	КАЗАХСТАН
	Карагандинский университет Болашак	Университет	Караганда	Карагандинская область	КАЗАХСТАН
	Карагандинский экономический университет Казпотребсоюза	Университет	Караганда	Карагандинская область	КАЗАХСТАН
	КГУ СОШ №35 им.Ю.Н.Павлова	Средняя общеобразовательная школа	Караганда	Карагандинская область	КАЗАХСТАН
	Колледж Экономики Бизнеса и Права	Колледж	Караганда	Карагандинская область	КАЗАХСТАН
	Колледж экономики, бизнеса и права	Колледж	Караганда	Карагандинская область	КАЗАХСТАН
	Республиканская военная школа-интернат	Средняя общеобразовательная школа	Караганда	Карагандинская область	КАЗАХСТАН
10	№10	Средняя общеобразовательная школа	Караганда	Карагандинская область	КАЗАХСТАН
100	КГУ СОШ	Средняя общеобразовательная школа	Караганда	Карагандинская область	КАЗАХСТАН
101	Школа-Лицей	Лицей	Караганда	Карагандинская область	КАЗАХСТАН
16	КГУ СОШ №16	Средняя общеобразовательная школа	Караганда	Карагандинская область	КАЗАХСТАН
48	№48	Средняя общеобразовательная школа	Караганда	Карагандинская область	КАЗАХСТАН
63	№63	Средняя общеобразовательная школа	Караганда	Карагандинская область	КАЗАХСТАН
66	№66	Средняя общеобразовательная школа	Караганда	Карагандинская область	КАЗАХСТАН
	Краснооктябрьская средняя школа	Средняя общеобразовательная школа	Арка	Костанайская область	КАЗАХСТАН
	гимназия имени Ибрая Алтынсарина	Гимназия	Аркалык	Костанайская область	КАЗАХСТАН
	Средяя общеобразовательная гимназия имени И. Алтынсарина	Гимназия	Аркалык	Костанайская область	КАЗАХСТАН
24	Средняя общеобразовательная гимназия имени И. Алтынсарина	Гимназия	Аркалык	Костанайская область	КАЗАХСТАН
	Аулиекольская школа-гимназия имени Султана Баймагамбетова	Гимназия	Аулиеколь	Костанайская область	КАЗАХСТАН
	Названное учебное заведение	Колледж	Аулиеколь	Костанайская область	КАЗАХСТАН
4	Бестюбинская средняя школа	Средняя общеобразовательная школа	Бестобе	Костанайская область	КАЗАХСТАН
	Боровская средняя школа им А.Чутаева отдела образования акимата Мендыкаринского района	Средняя общеобразовательная школа	Боровское	Костанайская область	КАЗАХСТАН
	им Азметказы Чутаева	Средняя общеобразовательная школа	Боровское	Костанайская область	КАЗАХСТАН
	Первомайская средняя школа	Средняя общеобразовательная школа	Боровское	Костанайская область	КАЗАХСТАН
	Костанайский экономический колледж Казпотребсоюза	Колледж	Глазуновка	Костанайская область	КАЗАХСТАН
	Федоровский сельскохозяйственный колледж	Колледж	Жарколь	Костанайская область	КАЗАХСТАН
	Житикаринский политехнический колледж	Колледж	Житикара	Костанайская область	КАЗАХСТАН
3	№3	Средняя общеобразовательная школа	Житикара	Костанайская область	КАЗАХСТАН
	Заречная школа-лицей	Лицей	Заречное	Костанайская область	КАЗАХСТАН
	Заречная школа-лицей	Средняя общеобразовательная школа	Заречное	Костанайская область	КАЗАХСТАН
	Затобольская школа - гимназия	Гимназия	Затобольск	Костанайская область	КАЗАХСТАН
	Затобольская школа-гимназия	Гимназия	Затобольск	Костанайская область	КАЗАХСТАН
	Костанайский Современный Многопрофильный колледж	Колледж	Затобольск	Костанайская область	КАЗАХСТАН
2	№2	Средняя общеобразовательная школа	Затобольск	Костанайская область	КАЗАХСТАН
4	Костанайский сельскохозяйственный колледж	Колледж	Затобольск	Костанайская область	КАЗАХСТАН
	Костанайский педагогический колледж	Колледж	Карабалык	Костанайская область	КАЗАХСТАН
	Международная Бизнес-Академия	Колледж	Караменды	Костанайская область	КАЗАХСТАН
1	Карасуская средняя школа	Средняя общеобразовательная школа	Карасу	Костанайская область	КАЗАХСТАН
	КПК	Колледж	Каскат	Костанайская область	КАЗАХСТАН
	Костанайский региональный агроэкономический колледж	Колледж	Койбагар	Костанайская область	КАЗАХСТАН
	Гимназия им. А.М. Горького	Гимназия	Костанай	Костанайская область	КАЗАХСТАН
	Гимназия им. А.М.Горького	Гимназия	Костанай	Костанайская область	КАЗАХСТАН
	гимназия имени А.М.Горького	Гимназия	Костанай	Костанайская область	КАЗАХСТАН
	Государственное учреждение Средняя школа №23 имени Манаша Козыбаева отдела образования акимата г. Костаная	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
	ГУ Гимназия имени А.М. Горького отдела образования города Костанай	Гимназия	Костанай	Костанайская область	КАЗАХСТАН
	ГУ Гимназия имени А.М.Горького отдела образования акимата города Костаная	Гимназия	Костанай	Костанайская область	КАЗАХСТАН
	ГУ Средняя школа 19	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
	ГУ Средняя школа №7 отдела образования акимата г.Костаная	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
	Дружбинская средняя школа	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
	Затобольская школа-гимназия	Гимназия	Костанай	Костанайская область	КАЗАХСТАН
	Затобольская школа-гимназия	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
	Индустриально-педагогический колледж	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Казахско-турецкий лицей	Лицей	Костанай	Костанайская область	КАЗАХСТАН
	КГКП Костанайский индустриально-  педагогический колледж	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	КГКП Костанайский строительный колледж	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	КГУ имен Ахмета Байтурсынова	Университет	Костанай	Костанайская область	КАЗАХСТАН
	КГУ Школа для одаренных детей Озат	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
	КГУ Школа-интернат для одаренных детей Озат	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
	КГУ ШОД Озат	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
	КИПК	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	ККАТ	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	кксо	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Колледж бытсервиса	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Коммунальное государственное учреждение Школа-интернат для одаренных детей Озат	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
	Кооперативный экономический колледж Казпотребсоюза	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Костанайский государственный университет	Университет	Костанай	Костанайская область	КАЗАХСТАН
	Костанайский государственный университет имени А.Байтурсынова	Университет	Костанай	Костанайская область	КАЗАХСТАН
	Костанайский государственный университет имени Ахмета Байтурсынова	Университет	Костанай	Костанайская область	КАЗАХСТАН
	Костанайский гуманитарный колледж	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Костанайский Индустриально- педагогический колледж	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Костанайский индустриально-педагогический колледж	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Костанайский инженерно-экономический университет им. М.Дулатова	Академия	Костанай	Костанайская область	КАЗАХСТАН
	Костанайский инженерно-экономический университет им. М.Дулатова	Университет	Костанай	Костанайская область	КАЗАХСТАН
	Костанайский колледж	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Костанайский колледж автомобильного транспорта	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Костанайский колледж бытсервиса	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Костанайский колледж сферы обслуживания	Профессиональный лицей	Костанай	Костанайская область	КАЗАХСТАН
	Костанайский полетехнический колледж	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Костанайский Политехнический колледж	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Костанайский современный многопрофильный колледж	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Костанайский современный профильный колледж	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Костанайский социально технический колледж	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Костанайский социально-технический колледж	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Костанайский строительный колледж	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Костанайский технико-экономический колледж	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Костанайский экономический колледж	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Костанайский экономический колледж Казпотребсоюза	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Костанайской колледж автомобильного транспорта	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	КСК	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	КСТК	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Кустанайский кооп.техникум	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Лисаковский технический колледж	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Лицей-интернат Билим-Инновация для одарённых детей	Лицей	Костанай	Костанайская область	КАЗАХСТАН
	Мичуринская средняя школа	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
	Озат школа-интернат для одаренных детей	Гимназия	Костанай	Костанайская область	КАЗАХСТАН
	Средняя школа 17	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
	Средняя школа № 23 имени М. Козыбаева	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
	Средняя школа №7	Лицей	Костанай	Костанайская область	КАЗАХСТАН
	Средняя школа №8	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
	сш.23 им. М. Козыбаева	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
	сш№23 им.М.Козыбаева	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
	Технико-экономический колледж Костанайского инжинерно-экономического университета им. М.Дулатова	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Техник-проектировщик (архитектор)	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Учреждение Костанайский колледж	Колледж	Костанай	Костанайская область	КАЗАХСТАН
	Физико математический Лицей	Лицей	Костанай	Костанайская область	КАЗАХСТАН
	Физико-математический лицей	Лицей	Костанай	Костанайская область	КАЗАХСТАН
	Физико-математический лицей	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
	Физико-математический лицей города Костаная	Лицей	Костанай	Костанайская область	КАЗАХСТАН
	Школа № 23	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
	Школа для одаренных детей  Озат	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
	Школа-гимназия №3	Гимназия	Костанай	Костанайская область	КАЗАХСТАН
	Школа-интернат для одаренных детей Озат Управления образования акимата Костанайской области	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
	школа-лицей №1	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
	Школа-лицей №2	Лицей	Костанай	Костанайская область	КАЗАХСТАН
	ШОД Озат	Лицей	Костанай	Костанайская область	КАЗАХСТАН
	ШОД Озат	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
1	№1	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
1	школа-лицей	Лицей	Костанай	Костанайская область	КАЗАХСТАН
16	средняя образовательная школа	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
17	№17	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
18	Школа-гимназия №18	Гимназия	Костанай	Костанайская область	КАЗАХСТАН
19	№19	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
2	Школа-лицей № 2 отдела образования акимата города Костаная	Лицей	Костанай	Костанайская область	КАЗАХСТАН
22	СШ № 22	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
23	им. М.Козыбаева	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
3	№3	Гимназия	Костанай	Костанайская область	КАЗАХСТАН
4	Средняя школа №4	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
5	имени Бауыржана Момышулы	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
7	Средняя школа	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
8	№8	Средняя общеобразовательная школа	Костанай	Костанайская область	КАЗАХСТАН
2	школа-лицей	Лицей	Костонай	Костанайская область	КАЗАХСТАН
	ГУ отдела образования акимата города Костаная Школа-лицей №2	Лицей	Кустанай	Костанайская область	КАЗАХСТАН
	кстк	Колледж	Кустанай	Костанайская область	КАЗАХСТАН
	КГКП Лисакаковский технический колледж	Колледж	Лисаковск	Костанайская область	КАЗАХСТАН
	КГКП Лисаковский технический колледж	Колледж	Лисаковск	Костанайская область	КАЗАХСТАН
	КГУ Школа -лицей отдела образования акимата города Лисаковска	Лицей	Лисаковск	Костанайская область	КАЗАХСТАН
	КГУ Школа-гимназия	Гимназия	Лисаковск	Костанайская область	КАЗАХСТАН
	КГУ школа-гимназия г. Лисаковска	Гимназия	Лисаковск	Костанайская область	КАЗАХСТАН
	Коммунальное государственное учреждение Школа-гимназия отдела образования акимата города Лисаковска	Гимназия	Лисаковск	Костанайская область	КАЗАХСТАН
	Лисаковский технический коледж	Колледж	Лисаковск	Костанайская область	КАЗАХСТАН
	Лисаковский технический колледж	Колледж	Лисаковск	Костанайская область	КАЗАХСТАН
	Школа-гимназия	Гимназия	Лисаковск	Костанайская область	КАЗАХСТАН
	Школа-Лицей	Лицей	Лисаковск	Костанайская область	КАЗАХСТАН
1	КГУ СШ	Средняя общеобразовательная школа	Лисаковск	Костанайская область	КАЗАХСТАН
2	№2	Гимназия	Лисаковск	Костанайская область	КАЗАХСТАН
5	КГУ Школа-лицей отдела образования акимата города Лисаковска	Лицей	Лисаковск	Костанайская область	КАЗАХСТАН
6	№6	Средняя общеобразовательная школа	Лисаковск	Костанайская область	КАЗАХСТАН
	Лискавский технический колледж	Колледж	Лисаковский	Костанайская область	КАЗАХСТАН
	Майская средняя школа	Средняя общеобразовательная школа	Майское	Костанайская область	КАЗАХСТАН
	Майская средняя школа отдела образования акимата Тарановского района	Средняя общеобразовательная школа	Майское	Костанайская область	КАЗАХСТАН
	Михайловская средняя школа отдела образования акимата Карабалыкского района	Средняя общеобразовательная школа	Михайловка	Костанайская область	КАЗАХСТАН
	Мичуринская средняя школа	Средняя общеобразовательная школа	Мичурино	Костанайская область	КАЗАХСТАН
	Джангильдинская среднея школа	Университет	Молодежное	Костанайская область	КАЗАХСТАН
	4	Средняя общеобразовательная школа	Рудный	Костанайская область	КАЗАХСТАН
	Гимназия №2	Гимназия	Рудный	Костанайская область	КАЗАХСТАН
	Гимназия №5	Гимназия	Рудный	Костанайская область	КАЗАХСТАН
	КГКП Рудневский горно-технологический колледж Костанайской области	Колледж	Рудный	Костанайская область	КАЗАХСТАН
	КГКП РУДНЕНСКИЙ ПОЛИТЕХНИЧЕСКИЙ КОЛЛЕДЖ	Колледж	Рудный	Костанайская область	КАЗАХСТАН
	КГУ Рудненский Полетехнический Колледж	Колледж	Рудный	Костанайская область	КАЗАХСТАН
	КГУ Средняя школа 11	Средняя общеобразовательная школа	Рудный	Костанайская область	КАЗАХСТАН
	Колледж Рудненского индустриального института	Колледж	Рудный	Костанайская область	КАЗАХСТАН
	РПТК	Колледж	Рудный	Костанайская область	КАЗАХСТАН
	Рудненнский политехнический колледж	Колледж	Рудный	Костанайская область	КАЗАХСТАН
	Рудненская профессиональная школа	Техникум	Рудный	Костанайская область	КАЗАХСТАН
